event_id,name,url,image_url,date,time,status,segment,genre,subgenre,venue_name,venue_city,venue_address,venue_lat,venue_lon,day_of_week,month_name,month_num,year,hour
Z698xZq2Z16vk9kke_,Maggie Reilly - Everytime we touch tour 2026,https://www.ticketmaster.se/event/maggie-reilly-everytime-we-touch-tour-2026-biljetter/1197186099,https://s1.ticketm.net/dam/e/136/f9d47e23-153c-42c5-abfb-27b00fbdb136_RECOMENDATION_16_9.jpg,2026-11-29,19:30,onsale,Music,Rock,Pop,Göta Lejon,Stockholm,Götgatan 55,59.31378,18.07384,Sunday,November,11,2026,19
Z698xZq2Z1kfOpe8v,ARLO PARKS - DESIRE TOUR,https://www.ticketmaster.se/event/arlo-parks-desire-tour-biljetter/520582401,https://s1.ticketm.net/dam/a/47e/d532f689-dc81-43ac-9fb8-8e2ea364e47e_RECOMENDATION_16_9.jpg,2026-12-02,20:00,onsale,Music,Alternative,Alternative Rock,Slaktkyrkan,Stockholm,Styckmästergatan 10,59.29224,18.08012,Wednesday,December,12,2026,20
Z698xZq2Z16vZ6jFO-,Torka aldrig tårar utan handskar,https://www.ticketmaster.se/event/torka-aldrig-tarar-utan-handskar-biljetter/1007708821,https://s1.ticketm.net/dam/a/c04/e189e030-d506-413c-9877-abbf392eac04_TABLET_LANDSCAPE_16_9.jpg,2026-12-03,19:30,onsale,Arts & Theatre,Theatre,Musical,Göta Lejon,Stockholm,Götgatan 55,59.31378,18.07384,Thursday,December,12,2026,19
Z698xZq2Z16v4YqFad,Tomten är far till alla barnen,https://www.ticketmaster.se/event/tomten-ar-far-till-alla-barnen-biljetter/1570748243,https://s1.ticketm.net/dam/a/485/f1148298-044b-465e-852e-b6195da2c485_CUSTOM.jpg,2026-12-04,19:30,onsale,Arts & Theatre,Theatre,Musical,Cirkus,Stockholm,Djurgårdsslätten 43-45,59.32457,18.09969,Friday,December,12,2026,19
Z698xZq2Z16v7x83ZZ,Torka aldrig tårar utan handskar,https://www.ticketmaster.se/event/torka-aldrig-tarar-utan-handskar-biljetter/1122412000,https://s1.ticketm.net/dam/a/c04/e189e030-d506-413c-9877-abbf392eac04_TABLET_LANDSCAPE_16_9.jpg,2026-12-04,19:30,onsale,Arts & Theatre,Theatre,Musical,Göta Lejon,Stockholm,Götgatan 55,59.31378,18.07384,Friday,December,12,2026,19
Z698xZq2Z16v1pOS8w,MAFFIA COMEDY SUPERWEEKEND med Ann Westin m.fl,https://www.ticketmaster.se/event/maffia-comedy-superweekend-med-ann-westin-mfl-biljetter/1296833432,https://s1.ticketm.net/dam/a/2f9/43412b6f-da4a-4529-afd0-31ba4b1162f9_RECOMENDATION_16_9.jpg,2026-12-04,20:00,onsale,Arts & Theatre,Comedy,Comedy,Clarion Hotel Sign,Stockholm, Östra Järnvägsgatan 35,59.99333,18.89062,Friday,December,12,2026,20
Z698xZq2Z1kFJ__Oy,Babblarna & Klonks Klapp-kalas,https://www.ticketmaster.se/event/babblarna--klonks-klapp-kalas-biljetter/226659839,https://s1.ticketm.net/dam/a/2fe/0e037444-3367-4146-9ee7-4d4eab58c2fe_TABLET_LANDSCAPE_LARGE_16_9.jpg,2026-12-05,11:00,onsale,Arts & Theatre,Children's Theatre,Children's Theatre,Nya Cirkus,Stockholm,Djurgårdsslätten 43-45,59.32458,18.0997,Saturday,December,12,2026,11
Z698xZq2Z16vbFvO06,Babblarna & Klonks Klapp-kalas,https://www.ticketmaster.se/event/babblarna--klonks-klapp-kalas-biljetter/1608060907,https://s1.ticketm.net/dam/a/2fe/0e037444-3367-4146-9ee7-4d4eab58c2fe_TABLET_LANDSCAPE_LARGE_16_9.jpg,2026-12-05,14:00,onsale,Arts & Theatre,Children's Theatre,Children's Theatre,Nya Cirkus,Stockholm,Djurgårdsslätten 43-45,59.32458,18.0997,Saturday,December,12,2026,14
Z698xZq2Z16vA3-gbY,Torka aldrig tårar utan handskar,https://www.ticketmaster.se/event/torka-aldrig-tarar-utan-handskar-biljetter/1152875630,https://s1.ticketm.net/dam/a/c04/e189e030-d506-413c-9877-abbf392eac04_TABLET_LANDSCAPE_16_9.jpg,2026-12-05,15:00,onsale,Arts & Theatre,Theatre,Musical,Göta Lejon,Stockholm,Götgatan 55,59.31378,18.07384,Saturday,December,12,2026,15
Z698xZq2Z1kb70_ro,Tomten är far till alla barnen,https://www.ticketmaster.se/event/tomten-ar-far-till-alla-barnen-biljetter/604919791,https://s1.ticketm.net/dam/a/485/f1148298-044b-465e-852e-b6195da2c485_CUSTOM.jpg,2026-12-05,15:00,onsale,Arts & Theatre,Theatre,Miscellaneous,Cirkus,Stockholm,Djurgårdsslätten 43-45,59.32457,18.09969,Saturday,December,12,2026,15
Z698xZq2Z1kfbv-pk,Fredrik ”Benke” Rydman – Romeo & Julia,https://www.ticketmaster.se/event/fredrik-benke-rydman--romeo--julia-biljetter/518061586,https://s1.ticketm.net/dam/a/8ad/c2e90a71-ea96-448b-8d07-52c4b9a8b8ad_SOURCE,2026-12-05,19:00,onsale,Arts & Theatre,Dance,Dance,Dansens Hus - Stora Scen,Stockholm,Barnhusgatan 12-14,59.33623,18.05644,Saturday,December,12,2026,19
Z698xZq2Z1k3F0Sbv,Torka aldrig tårar utan handskar,https://www.ticketmaster.se/event/torka-aldrig-tarar-utan-handskar-biljetter/488933601,https://s1.ticketm.net/dam/a/c04/e189e030-d506-413c-9877-abbf392eac04_TABLET_LANDSCAPE_16_9.jpg,2026-12-05,19:30,onsale,Arts & Theatre,Theatre,Musical,Göta Lejon,Stockholm,Götgatan 55,59.31378,18.07384,Saturday,December,12,2026,19
Z698xZq2Z1k8Fuf1o,Tomten är far till alla barnen,https://www.ticketmaster.se/event/tomten-ar-far-till-alla-barnen-biljetter/408354291,https://s1.ticketm.net/dam/a/485/f1148298-044b-465e-852e-b6195da2c485_CUSTOM.jpg,2026-12-05,19:30,onsale,Arts & Theatre,Theatre,Miscellaneous,Cirkus,Stockholm,Djurgårdsslätten 43-45,59.32457,18.09969,Saturday,December,12,2026,19
Z698xZq2Z1kfzoz8V,MAFFIA COMEDY SUPERWEEKEND med Ann Westin m.fl,https://www.ticketmaster.se/event/maffia-comedy-superweekend-med-ann-westin-mfl-biljetter/538478434,https://s1.ticketm.net/dam/a/2f9/43412b6f-da4a-4529-afd0-31ba4b1162f9_RECOMENDATION_16_9.jpg,2026-12-05,20:00,onsale,Arts & Theatre,Comedy,Comedy,Clarion Hotel Sign,Stockholm, Östra Järnvägsgatan 35,59.99333,18.89062,Saturday,December,12,2026,20
Z698xZq2Z1kFPZ3AF,Tomten är far till alla barnen,https://www.ticketmaster.se/event/tomten-ar-far-till-alla-barnen-biljetter/225012148,https://s1.ticketm.net/dam/a/485/f1148298-044b-465e-852e-b6195da2c485_CUSTOM.jpg,2026-12-06,15:00,onsale,Arts & Theatre,Theatre,Musical,Cirkus,Stockholm,Djurgårdsslätten 43-45,59.32457,18.09969,Sunday,December,12,2026,15
Z698xZq2Z1kPvAvqS,Fredrik ”Benke” Rydman – Romeo & Julia,https://www.ticketmaster.se/event/fredrik-benke-rydman--romeo--julia-biljetter/941141773,https://s1.ticketm.net/dam/a/8ad/c2e90a71-ea96-448b-8d07-52c4b9a8b8ad_SOURCE,2026-12-06,15:00,onsale,Arts & Theatre,Dance,Dance,Dansens Hus - Stora Scen,Stockholm,Barnhusgatan 12-14,59.33623,18.05644,Sunday,December,12,2026,15
Z698xZq2Z1kG8xf-S,Ben Folds - Paper Airplane Request Tour,https://www.ticketmaster.se/event/ben-folds-paper-airplane-request-tour-biljetter/310894873,https://s1.ticketm.net/dam/e/ecf/57604eef-a988-495e-a290-e28957681ecf_RETINA_PORTRAIT_3_2.jpg,2026-12-06,19:30,onsale,Music,Rock,Pop,Göta Lejon,Stockholm,Götgatan 55,59.31378,18.07384,Sunday,December,12,2026,19
Z698xZq2Z1k-dbe4J,Fredrik ”Benke” Rydman – Romeo & Julia,https://www.ticketmaster.se/event/fredrik-benke-rydman--romeo--julia-biljetter/843602566,https://s1.ticketm.net/dam/a/8ad/c2e90a71-ea96-448b-8d07-52c4b9a8b8ad_SOURCE,2026-12-10,19:00,onsale,Arts & Theatre,Dance,Dance,Dansens Hus - Stora Scen,Stockholm,Barnhusgatan 12-14,59.33623,18.05644,Thursday,December,12,2026,19
Z698xZq2Z16vAS8wvs,Torka aldrig tårar utan handskar,https://www.ticketmaster.se/event/torka-aldrig-tarar-utan-handskar-biljetter/1173432071,https://s1.ticketm.net/dam/a/c04/e189e030-d506-413c-9877-abbf392eac04_TABLET_LANDSCAPE_16_9.jpg,2026-12-10,19:30,onsale,Arts & Theatre,Theatre,Musical,Göta Lejon,Stockholm,Götgatan 55,59.31378,18.07384,Thursday,December,12,2026,19
Z698xZq2Z16vC3p64y,Fredrik ”Benke” Rydman – Romeo & Julia,https://www.ticketmaster.se/event/fredrik-benke-rydman--romeo--julia-biljetter/1392587579,https://s1.ticketm.net/dam/a/8ad/c2e90a71-ea96-448b-8d07-52c4b9a8b8ad_SOURCE,2026-12-11,19:00,onsale,Arts & Theatre,Dance,Dance,Dansens Hus - Stora Scen,Stockholm,Barnhusgatan 12-14,59.33623,18.05644,Friday,December,12,2026,19
Z698xZq2Z1kFeu_b9,Torka aldrig tårar utan handskar,https://www.ticketmaster.se/event/torka-aldrig-tarar-utan-handskar-biljetter/202359617,https://s1.ticketm.net/dam/a/c04/e189e030-d506-413c-9877-abbf392eac04_TABLET_LANDSCAPE_16_9.jpg,2026-12-11,19:30,onsale,Arts & Theatre,Theatre,Musical,Göta Lejon,Stockholm,Götgatan 55,59.31378,18.07384,Friday,December,12,2026,19
Z698xZq2Z1kx9xo0z,MAFFIA COMEDY SUPERWEEKEND med Tobbe Ström m.fl,https://www.ticketmaster.se/event/maffia-comedy-superweekend-med-tobbe-strom-mfl-biljetter/897891938,https://s1.ticketm.net/dam/a/2f9/43412b6f-da4a-4529-afd0-31ba4b1162f9_RECOMENDATION_16_9.jpg,2026-12-11,20:00,onsale,Arts & Theatre,Comedy,Comedy,Clarion Hotel Sign,Stockholm, Östra Järnvägsgatan 35,59.99333,18.89062,Friday,December,12,2026,20
Z698xZq2Z1kFV7Ya_,Fredrik ”Benke” Rydman – Romeo & Julia,https://www.ticketmaster.se/event/fredrik-benke-rydman--romeo--julia-biljetter/234130259,https://s1.ticketm.net/dam/a/8ad/c2e90a71-ea96-448b-8d07-52c4b9a8b8ad_SOURCE,2026-12-12,15:00,onsale,Arts & Theatre,Dance,Dance,Dansens Hus - Stora Scen,Stockholm,Barnhusgatan 12-14,59.33623,18.05644,Saturday,December,12,2026,15
Z698xZq2Z1ke4fd8w,Torka aldrig tårar utan handskar,https://www.ticketmaster.se/event/torka-aldrig-tarar-utan-handskar-biljetter/95503432,https://s1.ticketm.net/dam/a/c04/e189e030-d506-413c-9877-abbf392eac04_TABLET_LANDSCAPE_16_9.jpg,2026-12-12,15:00,onsale,Arts & Theatre,Theatre,Musical,Göta Lejon,Stockholm,Götgatan 55,59.31378,18.07384,Saturday,December,12,2026,15
Z698xZq2Z16vkkxFbJ,Fredrik ”Benke” Rydman – Romeo & Julia,https://www.ticketmaster.se/event/fredrik-benke-rydman--romeo--julia-biljetter/1186888626,https://s1.ticketm.net/dam/a/8ad/c2e90a71-ea96-448b-8d07-52c4b9a8b8ad_SOURCE,2026-12-12,19:00,onsale,Arts & Theatre,Dance,Dance,Dansens Hus - Stora Scen,Stockholm,Barnhusgatan 12-14,59.33623,18.05644,Saturday,December,12,2026,19
Z698xZq2Z16vQAfv0M,Torka aldrig tårar utan handskar,https://www.ticketmaster.se/event/torka-aldrig-tarar-utan-handskar-biljetter/1685501937,https://s1.ticketm.net/dam/a/c04/e189e030-d506-413c-9877-abbf392eac04_TABLET_LANDSCAPE_16_9.jpg,2026-12-12,19:30,onsale,Arts & Theatre,Theatre,Musical,Göta Lejon,Stockholm,Götgatan 55,59.31378,18.07384,Saturday,December,12,2026,19
Z698xZq2Z16v4e09Cd,Brad Williams - Tall Tales Tour,https://www.ticketmaster.se/event/brad-williams-tall-tales-tour-biljetter/1542917383,https://s1.ticketm.net/dam/a/a7c/9adc62bf-18be-4b9a-987e-97e11500ba7c_EVENT_DETAIL_PAGE_16_9.jpg,2026-12-12,20:00,onsale,Arts & Theatre,Comedy,Comedy,Nya Cirkus,Stockholm,Djurgårdsslätten 43-45,59.32458,18.0997,Saturday,December,12,2026,20
Z698xZq2Z1kqVZ0oo,MAFFIA COMEDY SUPERWEEKEND med Tobbe Ström m.fl,https://www.ticketmaster.se/event/maffia-comedy-superweekend-med-tobbe-strom-mfl-biljetter/774024451,https://s1.ticketm.net/dam/a/2f9/43412b6f-da4a-4529-afd0-31ba4b1162f9_RECOMENDATION_16_9.jpg,2026-12-12,20:00,onsale,Arts & Theatre,Comedy,Comedy,Clarion Hotel Sign,Stockholm, Östra Järnvägsgatan 35,59.99333,18.89062,Saturday,December,12,2026,20
Z698xZq2Z16vafuNk3,John Lundvik med Mats Björkes Caravan – Julturné 2026,https://www.ticketmaster.se/event/john-lundvik-med-mats-bjorkes-caravan--julturne-2026-biljetter/1254363192,https://s1.ticketm.net/dam/e/78c/3cc5b5dd-8d71-452c-a57c-8eb9e0d6278c_RECOMENDATION_16_9.jpg,2026-12-15,19:30,offsale,Music,Holiday,Christmas Music,Rival,Stockholm,Mariatorget 3,59.31816,18.06364,Tuesday,December,12,2026,19
Z698xZq2Z16vf08Yx4,Torka aldrig tårar utan handskar,https://www.ticketmaster.se/event/torka-aldrig-tarar-utan-handskar-biljetter/1524430895,https://s1.ticketm.net/dam/a/c04/e189e030-d506-413c-9877-abbf392eac04_TABLET_LANDSCAPE_16_9.jpg,2026-12-17,19:30,onsale,Arts & Theatre,Theatre,Musical,Göta Lejon,Stockholm,Götgatan 55,59.31378,18.07384,Thursday,December,12,2026,19
